,Learners,Learn rate,Depth,F1 Macro Score
315,6.0,41.0,3.0,0.5737223635813857
316,6.0,41.0,4.0,0.6099425744808088
317,6.0,41.0,5.0,0.6228182469815096
318,6.0,41.0,6.0,0.6304955494500158
319,6.0,41.0,7.0,0.6534250341955758
320,6.0,41.0,8.0,0.6645046671173256
321,6.0,41.0,9.0,0.6761442355572418
322,6.0,43.0,3.0,0.5994969086580808
323,6.0,43.0,4.0,0.6189967291018188
324,6.0,43.0,5.0,0.6115487876469846
325,6.0,43.0,6.0,0.6694214812997316
326,6.0,43.0,7.0,0.6465496956350334
327,6.0,43.0,8.0,0.6446080362169926
328,6.0,43.0,9.0,0.6623132861754788
329,6.0,45.0,3.0,0.6135998465114052
330,6.0,45.0,4.0,0.6325898021070466
331,6.0,45.0,5.0,0.6502520376475696
332,6.0,45.0,6.0,0.6495758753806322
333,6.0,45.0,7.0,0.6551362554136528
334,6.0,45.0,8.0,0.6655835079310555
335,6.0,45.0,9.0,0.662821249563388
336,6.0,47.0,3.0,0.5577488380195637
337,6.0,47.0,4.0,0.6125460123635408
338,6.0,47.0,5.0,0.6460851377141265
339,6.0,47.0,6.0,0.6454676144324643
340,6.0,47.0,7.0,0.6839913458188943
341,6.0,47.0,8.0,0.653298850104164
342,6.0,47.0,9.0,0.6449384414119604
343,6.0,49.0,3.0,0.5749854740021251
344,6.0,49.0,4.0,0.6256481463288873
345,6.0,49.0,5.0,0.6220315907108727
346,6.0,49.0,6.0,0.6270253527761797
347,6.0,49.0,7.0,0.6797170558978098
348,6.0,49.0,8.0,0.6494311471543632
349,6.0,49.0,9.0,0.6930804702470399
350,7.0,1.0,3.0,0.3152502415534824
351,7.0,1.0,4.0,0.3736317022621277
352,7.0,1.0,5.0,0.3723185705784638
353,7.0,1.0,6.0,0.4259751616666362
354,7.0,1.0,7.0,0.44439631941731783
355,7.0,1.0,8.0,0.4466911839912163
356,7.0,1.0,9.0,0.4584691187094321
357,7.0,3.0,3.0,0.47573139885872673
358,7.0,3.0,4.0,0.4893198028921142
359,7.0,3.0,5.0,0.4799989262729478
360,7.0,3.0,6.0,0.5158670428728739
361,7.0,3.0,7.0,0.5331015860866607
362,7.0,3.0,8.0,0.5538930335071925
363,7.0,3.0,9.0,0.5277424806247187
364,7.0,5.0,3.0,0.5293805777322587
365,7.0,5.0,4.0,0.5424982610424296
366,7.0,5.0,5.0,0.5688615136548986
367,7.0,5.0,6.0,0.604971921892749
368,7.0,5.0,7.0,0.5940204788498248
369,7.0,5.0,8.0,0.6356033079121314
370,7.0,5.0,9.0,0.6517492892544894
371,7.0,7.0,3.0,0.554331204520395
372,7.0,7.0,4.0,0.5556469766094365
373,7.0,7.0,5.0,0.6158351941421512
374,7.0,7.0,6.0,0.6239490395500571
375,7.0,7.0,7.0,0.6345667668836498
376,7.0,7.0,8.0,0.6480719650520237
377,7.0,7.0,9.0,0.6649774313019237
378,7.0,9.0,3.0,0.543042071778793
379,7.0,9.0,4.0,0.6119781846404627
380,7.0,9.0,5.0,0.639924710496434
381,7.0,9.0,6.0,0.6415348490130589
382,7.0,9.0,7.0,0.6533696692073511
383,7.0,9.0,8.0,0.6608193786541161
384,7.0,9.0,9.0,0.6980937292131058
385,7.0,11.0,3.0,0.5751035816570198
386,7.0,11.0,4.0,0.6033027837351195
387,7.0,11.0,5.0,0.6132001550089287
388,7.0,11.0,6.0,0.6618076301100907
389,7.0,11.0,7.0,0.6319729279679742
390,7.0,11.0,8.0,0.675779997778047
391,7.0,11.0,9.0,0.6687295878147123
392,7.0,13.0,3.0,0.5713189461021706
393,7.0,13.0,4.0,0.6260316382490296
394,7.0,13.0,5.0,0.617853798802886
395,7.0,13.0,6.0,0.6502071758475699
396,7.0,13.0,7.0,0.652937380839685
397,7.0,13.0,8.0,0.6474854020271722
398,7.0,13.0,9.0,0.674605564883928
399,7.0,15.0,3.0,0.5871803905705953
400,7.0,15.0,4.0,0.5993323083255383
401,7.0,15.0,5.0,0.6467017906845467
402,7.0,15.0,6.0,0.6472236060914179
403,7.0,15.0,7.0,0.6698304798251274
404,7.0,15.0,8.0,0.631518336172771
405,7.0,15.0,9.0,0.6639720805130295
406,7.0,17.0,3.0,0.5671654182018191
407,7.0,17.0,4.0,0.6055576056506321
408,7.0,17.0,5.0,0.6292352680602415
409,7.0,17.0,6.0,0.6479775808657704
410,7.0,17.0,7.0,0.6737483714388488
411,7.0,17.0,8.0,0.6660316597611119
412,7.0,17.0,9.0,0.6757637801908679
413,7.0,19.0,3.0,0.5627998444042833
414,7.0,19.0,4.0,0.6246876332252768
415,7.0,19.0,5.0,0.6298101782377519
416,7.0,19.0,6.0,0.6637625350668769
417,7.0,19.0,7.0,0.6536018710364832
418,7.0,19.0,8.0,0.6700623944860062
419,7.0,19.0,9.0,0.6860642993030328
420,7.0,21.0,3.0,0.5798230319816529
